                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.9761,                 2.8319,                 1.8056,                0.33706,                0.24096,                0.16707,                0.05442,                  2.174,                 2.9375,                 1.8855,                0.00055,                0.00055,                0.00055
                      1,                 1.8622,                 2.2381,                 1.6786,                0.20762,                0.35016,                0.19466,                0.06341,                 2.2027,                 4.0085,                 2.1615,              0.0010327,              0.0010327,              0.0010327
                      2,                 1.8716,                 2.1136,                 1.6781,                0.27174,                0.25542,                0.18851,                0.06502,                 2.2976,                 3.0922,                 2.0616,               0.001442,               0.001442,               0.001442
                      3,                 1.8404,                 2.0315,                 1.6402,                0.29947,                0.26232,                0.19553,                0.06582,                 2.2896,                 2.7083,                 2.0828,              0.0013369,              0.0013369,              0.0013369
                      4,                 1.8258,                 1.9111,                 1.6359,                0.28114,                0.29362,                 0.1922,                0.06044,                 2.4398,                 2.6065,                 2.2326,              0.0013369,              0.0013369,              0.0013369
                      5,                 1.8493,                 1.9896,                  1.653,                0.39649,                0.33647,                0.29887,                0.10973,                   2.12,                 2.3064,                 1.8918,              0.0012269,              0.0012269,              0.0012269
                      6,                 1.8025,                 1.8339,                 1.6274,                0.32791,                0.32297,                0.26421,                0.09211,                  2.219,                 2.2779,                 1.9242,              0.0011169,              0.0011169,              0.0011169
                      7,                 1.7949,                 1.7553,                 1.6217,                0.41921,                0.39503,                0.33175,                0.12184,                 2.1358,                 2.0319,                 1.8635,              0.0010069,              0.0010069,              0.0010069
                      8,                  1.753,                 1.6888,                 1.5741,                0.37911,                0.37106,                0.33086,                0.12131,                 2.1712,                 2.0622,                 1.8889,             0.00089685,             0.00089685,             0.00089685
                      9,                 1.7037,                  1.625,                 1.5531,                0.43933,                0.36189,                0.34173,                0.13649,                 2.0592,                 1.9674,                 1.8345,             0.00078682,             0.00078682,             0.00078682
                     10,                 1.6862,                 1.5757,                  1.528,                0.39366,                 0.4122,                0.35156,                0.12835,                  2.164,                 1.9561,                 1.8562,              0.0006768,              0.0006768,              0.0006768
                     11,                 1.6725,                 1.5374,                 1.5039,                0.44058,                0.38806,                0.35803,                0.13706,                 2.1041,                 1.9194,                 1.8063,             0.00056678,             0.00056678,             0.00056678
                     12,                 1.6532,                 1.4924,                 1.4932,                0.45574,                0.37485,                0.35882,                0.13627,                 2.1661,                 1.8873,                  1.863,             0.00045676,             0.00045676,             0.00045676
                     13,                 1.6232,                 1.4445,                 1.4625,                0.47508,                0.39522,                0.37066,                0.14338,                 2.0896,                  1.837,                 1.8465,             0.00034674,             0.00034674,             0.00034674
                     14,                 1.5791,                  1.389,                 1.4373,                0.48214,                0.39827,                0.39373,                0.15651,                 2.0705,                  1.802,                 1.8138,             0.00023671,             0.00023671,             0.00023671
